Status,CRN,Course Code,Course Subject,Course Number,Course Title,Cross List Code,College,Department,Schedule Type,Credits,Days,Time,Primary Instructor,Secondary Instructors,Max Enrollment,Current Enrollment,Enrollment Available,Waitlist Count,Campus,Location,Seating,Dates
Open,11174,CS 497-156,CS,497,Special Projects,,CC,CSCI,IND,20,, - ,"Raicu, Ioan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14959,CS 497-164,CS,497,Special Projects,,CC,CSCI,IND,20,, - ,"Wang, Binghui",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14258,CS 497-173,CS,497,Special Projects,,CC,CSCI,IND,20,, - ,"Duan, Yue",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10663,CS 497-181,CS,497,Special Projects,,CC,CSCI,IND,20,, - ,"Hood, Cynthia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11577,CS 525-01,CS,525,Advanced Database Organization,,CC,CSCI,LEC,3,MW,1515 - 1630,"Elmehdwi, Yousef",,60,0,60,0,Mies,PH-131,196,22-AUG-22 to 10-DEC-22
Open,11578,CS 525-02,CS,525,Advanced Database Organization,,CC,CSCI,LEC,3,, - ,"Elmehdwi, Yousef",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14322,CS 525-03,CS,525,Advanced Database Organization,,CC,CSCI,LEC,3,, - ,,,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15230,CS 527-01,CS,527,Software Security,,CC,CSCI,LEC,3,TR,0835 - 0950,"Duan, Yue",,20,0,20,0,Mies,SB-111,60,22-AUG-22 to 10-DEC-22
Open,15231,CS 527-02,CS,527,Software Security,,CC,CSCI,LEC,3,, - ,"Duan, Yue",,10,0,10,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,11180,CS 535-01,CS,535,Dsgn and Anlys of Algorithms,86,CC,CSCI,LEC,3,T,1825 - 2105,"Wan, Peng-Jun",,50,0,50,0,Mies,SB-113,60,22-AUG-22 to 10-DEC-22
Open,11182,CS 535-02,CS,535,Dsgn and Anlys of Algorithms,86,CC,CSCI,LEC,3,T,1825 - 2105,"Wan, Peng-Jun",,10,0,10,0,Mies,SB-113,60,22-AUG-22 to 10-DEC-22
Open,11183,CS 535-03,CS,535,Dsgn and Anlys of Algorithms,,CC,CSCI,LEC,3,, - ,"Wan, Peng-Jun",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14323,CS 535-04,CS,535,Dsgn and Anlys of Algorithms,,CC,CSCI,LEC,3,, - ,,,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,10345,CS 536-01,CS,536,Science of Programming,Z8,CC,CSCI,LEC,3,TR,1000 - 1115,"Sasaki, James",,50,0,50,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11847,CS 536-02,CS,536,Science of Programming,Z8,CC,CSCI,LEC,3,TR,1000 - 1115,"Sasaki, James",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10346,CS 536-03,CS,536,Science of Programming,,CC,CSCI,LEC,3,, - ,"Sasaki, James",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15118,CS 539-01,CS,539,Game Theory: Algorithms & Apps,,CC,CSCI,LEC,3,MW,1700 - 1815,"Kapoor, Sanjiv",,20,0,20,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,15119,CS 539-02,CS,539,Game Theory: Algorithms & Apps,,CC,CSCI,LEC,3,, - ,"Kapoor, Sanjiv",,10,0,10,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,10347,CS 542-01,CS,542,Computer Netwrks I:Fundamentls,,CC,CSCI,LEC,3,TR,1125 - 1240,"Chlebus, Edward",,60,0,60,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10637,CS 542-02,CS,542,Computer Netwrks I:Fundamentls,,CC,CSCI,LEC,3,, - ,"Chlebus, Edward",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15120,CS 549-01,CS,549,Cryptography,,CC,CSCI,LEC,3,W,1825 - 2105,"Hong, Yuan",,40,0,40,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,15121,CS 549-02,CS,549,Cryptography,,CC,CSCI,LEC,3,, - ,"Hong, Yuan",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,12065,CS 550-01,CS,550,Advanced Operating Systems,41,CC,CSCI,LEC,3,TR,1515 - 1630,"Sun, Xian-He",,40,0,40,0,Mies,WH-113,267,22-AUG-22 to 10-DEC-22
Open,12066,CS 550-02,CS,550,Advanced Operating Systems,41,CC,CSCI,LEC,3,TR,1515 - 1630,"Sun, Xian-He",,10,0,10,0,Mies,WH-113,267,22-AUG-22 to 10-DEC-22
Open,12067,CS 550-03,CS,550,Advanced Operating Systems,,CC,CSCI,LEC,3,, - ,"Sun, Xian-He",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15122,CS 551-01,CS,551,Operating Syst Design&Implemtn,,CC,CSCI,LEC,3,TR,1350 - 1505,"Leung, Wu-Hon",,40,0,40,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,15123,CS 551-02,CS,551,Operating Syst Design&Implemtn,,CC,CSCI,LEC,3,, - ,"Leung, Wu-Hon",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15124,CS 553-01,CS,553,Cloud Computing,,CC,CSCI,LEC,3,TR,1125 - 1240,"Raicu, Ioan",,40,0,40,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,15125,CS 553-02,CS,553,Cloud Computing,,CC,CSCI,LEC,3,, - ,"Raicu, Ioan",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15126,CS 577-01,CS,577,Deep Learning,,CC,CSCI,LEC,3,TR,1700 - 1815,"Agam, Gady",,60,0,60,0,Mies,SB-111,60,22-AUG-22 to 10-DEC-22
Open,15127,CS 577-02,CS,577,Deep Learning,,CC,CSCI,LEC,3,, - ,"Agam, Gady",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15280,CS 577-03,CS,577,Deep Learning,,CC,CSCI,,3,, - ,,,20,0,20,0,Internet,-,0, to 
Open,14541,CS 584-01,CS,584,Machine Learning,,CC,CSCI,LEC,3,WF,1350 - 1505,"Yan, Yan",,60,0,60,0,Mies,SB-111,60,22-AUG-22 to 10-DEC-22
Open,14542,CS 584-02,CS,584,Machine Learning,,CC,CSCI,LEC,3,, - ,"Yan, Yan",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14543,CS 584-03,CS,584,Machine Learning,,CC,CSCI,LEC,3,, - ,"Bilgic, Mustafa",,40,0,40,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14544,CS 585-01,CS,585,Natural Language Processing,,CC,CSCI,LEC,3,MW,1515 - 1630,"Shu, Kai",,60,0,60,0,Mies,SB-113,60,22-AUG-22 to 10-DEC-22
Open,14545,CS 585-02,CS,585,Natural Language Processing,,CC,CSCI,LEC,3,, - ,"Shu, Kai",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14979,CS 585-03,CS,585,Natural Language Processing,,CC,CSCI,,3,, - ,,,20,0,20,0,Internet,-,0, to 
Open,10348,CS 587-01,CS,587,Software Project Management,,CC,CSCI,LEC,3,F,1825 - 2105,"Bader, Atef",,60,0,60,0,Mies,SB-111,60,22-AUG-22 to 10-DEC-22
Open,10349,CS 587-02,CS,587,Software Project Management,,CC,CSCI,LEC,3,, - ,"Bader, Atef",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14547,CS 589-01,CS,589,Software Testing and Anlys,,CC,CSCI,LEC,3,MW,1700 - 1815,"Korel, Bogdan",,40,0,40,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14548,CS 589-02,CS,589,Software Testing and Anlys,,CC,CSCI,LEC,3,, - ,"Korel, Bogdan",,20,0,20,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,15281,CS 589-03,CS,589,Software Testing and Anlys,,CC,CSCI,,3,, - ,,,20,0,20,0,Internet,-,0, to 
Open,11445,CS 591-105,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Glavic, Boris",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10350,CS 591-112,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Argamon, Shlomo",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10351,CS 591-116,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Lan, Zhiling",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11031,CS 591-117,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Leung, Wu-Hon",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14402,CS 591-121,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Hale, Kyle",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14960,CS 591-128,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Sultana, Nik",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14852,CS 591-130,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Hong, Yuan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14549,CS 591-138,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Yan, Yan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14855,CS 591-140,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Wang, Rujia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14259,CS 591-144,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Shu, Kai",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14260,CS 591-151,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Muller, Stefan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14856,CS 591-156,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Raicu, Ioan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14961,CS 591-164,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Wang, Binghui",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10944,CS 591-167,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Korel, Bogdan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14857,CS 591-171,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Bilgic, Mustafa",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14261,CS 591-173,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Duan, Yue",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11129,CS 591-181,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Hood, Cynthia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10352,CS 591-183,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Wan, Peng-Jun",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10911,CS 591-188,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Sun, Xian-He",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10930,CS 591-190,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Bader, Atef",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10353,CS 591-193,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Agam, Gady",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11810,CS 591-194,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Calinescu, Gruia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10354,CS 591-197,CS,591,Reseach and Thesis M.S.,,CC,CSCI,IND,20,, - ,"Kapoor, Sanjiv",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10940,CS 594-188,CS,594,Research Problems,,CC,CSCI,IND,20,, - ,"Sun, Xian-He",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12787,CS 594-197,CS,594,Research Problems,,CC,CSCI,IND,20,, - ,"Kapoor, Sanjiv",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11025,CS 595-01,CS,595,Trustworthy Machine Learning,,CC,CSCI,LEC,3,MW,1000 - 1115,"Wang, Binghui",,20,0,20,0,Mies,-,0,22-AUG-22 to 10-DEC-22
